Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2000 - 2015,Evening (19:00-22:00),Northbound,9,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2000 - 2015,Evening (19:00-22:00),Southbound,13,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2015 - 2030,Evening (19:00-22:00),Northbound,9,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2015 - 2030,Evening (19:00-22:00),Southbound,13,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2030 - 2045,Evening (19:00-22:00),Southbound,13,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2045 - 2100,Evening (19:00-22:00),Southbound,13,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2100 - 2115,Evening (19:00-22:00),Northbound,10,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2100 - 2115,Evening (19:00-22:00),Southbound,13,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2115 - 2130,Evening (19:00-22:00),Northbound,10,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2115 - 2130,Evening (19:00-22:00),Southbound,13,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2130 - 2145,Evening (19:00-22:00),Northbound,10,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2130 - 2145,Evening (19:00-22:00),Southbound,13,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2145 - 2200,Evening (19:00-22:00),Southbound,13,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1000 - 1015,Inter-peak (10:00-16:00),Northbound,16,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Northbound,16,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Northbound,16,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Northbound,16,15,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Northbound,16,15,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Northbound,16,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Northbound,16,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1815 - 1830,PM peak (16:00-19:00),Northbound,17,15,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1900 - 1915,Evening (19:00-22:00),Northbound,17,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1915 - 1930,Evening (19:00-22:00),Northbound,17,15,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2030 - 2045,Evening (19:00-22:00),Northbound,17,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2045 - 2100,Evening (19:00-22:00),Northbound,17,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,2145 - 2200,Evening (19:00-22:00),Northbound,17,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Northbound,19,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Northbound,19,45,2
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1830 - 1845,PM peak (16:00-19:00),Northbound,19,30,2
