Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1115 - 1130,Inter-peak (10:00-16:00),Westbound,11,15,9,1,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1130 - 1145,Inter-peak (10:00-16:00),Westbound,11,30,9,3,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1145 - 1200,Inter-peak (10:00-16:00),Westbound,11,45,13,2,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1200 - 1215,Inter-peak (10:00-16:00),Westbound,12,0,8,2,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1215 - 1230,Inter-peak (10:00-16:00),Westbound,12,15,23,4,27
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1230 - 1245,Inter-peak (10:00-16:00),Westbound,12,30,21,5,26
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1245 - 1300,Inter-peak (10:00-16:00),Westbound,12,45,20,4,24
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1300 - 1315,Inter-peak (10:00-16:00),Westbound,13,0,17,3,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Westbound,13,15,17,2,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Westbound,13,30,15,2,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Westbound,13,45,13,3,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Westbound,14,0,11,2,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Westbound,14,15,16,4,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Westbound,14,30,11,5,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Westbound,14,45,8,3,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Westbound,15,0,11,1,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Westbound,15,15,14,1,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Westbound,15,30,16,1,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Westbound,15,45,19,0,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Westbound,16,0,18,2,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Westbound,16,15,21,3,24
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Westbound,16,30,30,6,36
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Westbound,16,45,19,1,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/02/18",Dry,1700 - 1715,PM peak (16:00-19:00),Westbound,17,0,24,4,28
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1715 - 1730,PM peak (16:00-19:00),Westbound,17,15,31,6,37
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1730 - 1745,PM peak (16:00-19:00),Westbound,17,30,36,11,47
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1745 - 1800,PM peak (16:00-19:00),Westbound,17,45,34,9,43
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1800 - 1815,PM peak (16:00-19:00),Westbound,18,0,40,7,47
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1815 - 1830,PM peak (16:00-19:00),Westbound,18,15,29,7,36
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1830 - 1845,PM peak (16:00-19:00),Westbound,18,30,31,3,34
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1845 - 1900,PM peak (16:00-19:00),Westbound,18,45,27,5,32
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1900 - 1915,Evening (19:00-22:00),Westbound,19,0,27,4,31
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1915 - 1930,Evening (19:00-22:00),Westbound,19,15,19,2,21
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1930 - 1945,Evening (19:00-22:00),Westbound,19,30,17,3,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,1945 - 2000,Evening (19:00-22:00),Westbound,19,45,11,2,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2000 - 2015,Evening (19:00-22:00),Westbound,20,0,15,0,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2015 - 2030,Evening (19:00-22:00),Westbound,20,15,10,1,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2030 - 2045,Evening (19:00-22:00),Westbound,20,30,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2045 - 2100,Evening (19:00-22:00),Westbound,20,45,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2100 - 2115,Evening (19:00-22:00),Westbound,21,0,11,1,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2115 - 2130,Evening (19:00-22:00),Westbound,21,15,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2130 - 2145,Evening (19:00-22:00),Westbound,21,30,17,0,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2145 - 2200,Evening (19:00-22:00),Westbound,21,45,5,0,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Northbound,6,0,4,0,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Northbound,6,15,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Northbound,6,30,6,0,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Northbound,6,45,11,0,11
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0700 - 0715,AM peak (07:00-10:00),Northbound,7,0,13,0,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0715 - 0730,AM peak (07:00-10:00),Northbound,7,15,12,0,12
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0730 - 0745,AM peak (07:00-10:00),Northbound,7,30,9,1,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0745 - 0800,AM peak (07:00-10:00),Northbound,7,45,7,0,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0800 - 0815,AM peak (07:00-10:00),Northbound,8,0,12,0,12
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0815 - 0830,AM peak (07:00-10:00),Northbound,8,15,16,3,19
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0830 - 0845,AM peak (07:00-10:00),Northbound,8,30,31,1,32
